zeitstempel,parametertyp,wert,einheit,zustand
2025-06-10T10:32:58.171Z,Relative Feuchtigkeit,47.7,%,OK
2025-06-10T10:32:58.171Z,Temperatur,5.0,°C,OK
2025-06-10T10:42:58.171Z,Erschütterung,0.38,g,OK
2025-06-10T10:32:59.171Z,Relative Feuchtigkeit,46.6,%,OK
2025-06-10T10:32:59.171Z,Temperatur,23.7,°C,OK
2025-06-10T10:42:59.171Z,Erschütterung,0.11,g,OK
2025-06-10T10:33:00.171Z,Relative Feuchtigkeit,46.7,%,OK
2025-06-10T10:33:00.171Z,Temperatur,26.9,°C,OK
2025-06-10T10:43:00.171Z,Erschütterung,0.33,g,OK
2025-06-10T10:33:01.171Z,Relative Feuchtigkeit,45.6,%,OK
2025-06-10T10:33:01.171Z,Temperatur,19.3,°C,OK
2025-06-10T10:43:01.171Z,Erschütterung,0.34,g,OK
2025-06-10T10:33:02.171Z,Relative Feuchtigkeit,42.1,%,OK
2025-06-10T10:33:02.171Z,Temperatur,20.6,°C,OK
2025-06-10T10:43:02.171Z,Erschütterung,0.05,g,OK
