zeitstempel,parametertyp,wert,einheit,zustand
2025-06-10T11:56:06.201Z,Relative Feuchtigkeit,51.0,%,OK
2025-06-10T11:56:06.201Z,Temperatur,22.0,°C,OK
2025-06-10T12:06:06.201Z,Erschütterung,0.64,g,OK
2025-06-10T11:56:07.201Z,Relative Feuchtigkeit,53.9,%,OK
2025-06-10T11:56:07.201Z,Temperatur,36.9,°C,ALARM
2025-06-10T12:06:07.201Z,Erschütterung,0.11,g,OK
2025-06-10T11:56:08.201Z,Relative Feuchtigkeit,54.6,%,OK
2025-06-10T11:56:08.201Z,Temperatur,36.9,°C,ALARM
2025-06-10T12:06:08.201Z,Erschütterung,0.23,g,OK
2025-06-10T11:56:09.201Z,Relative Feuchtigkeit,45.8,%,OK
2025-06-10T11:56:09.201Z,Temperatur,14.1,°C,OK
2025-06-10T12:06:09.201Z,Erschütterung,0.19,g,OK
2025-06-10T11:56:10.201Z,Relative Feuchtigkeit,46.0,%,OK
2025-06-10T11:56:10.201Z,Temperatur,23.4,°C,OK
2025-06-10T12:06:10.201Z,Erschütterung,0.34,g,OK
