timestamp,temperatur,erschuetterung_g
2025-06-02T20:30:12.998Z,4.41,0.35
2025-06-02T20:30:22.998Z,2.01,0.35
2025-06-02T20:30:32.998Z,7.36,0.15
2025-06-02T20:30:42.998Z,3.4,0.12
2025-06-02T20:30:52.998Z,4.06,0.47
2025-06-02T20:31:02.998Z,4.76,0.37
2025-06-02T20:31:12.998Z,2.17,0.37
2025-06-02T20:31:22.998Z,6.84,0.23
2025-06-02T20:31:32.998Z,5.03,0.28
2025-06-02T20:31:42.998Z,4.91,0.24
2025-06-02T20:31:52.998Z,2.22,0.01
2025-06-02T20:32:02.998Z,5.22,0.1
2025-06-02T20:32:12.998Z,4.01,0.36
2025-06-02T20:32:22.998Z,4.54,0.17
2025-06-02T20:32:32.998Z,2.34,0.14
2025-06-02T20:32:42.998Z,4.29,0.04
2025-06-02T20:32:52.998Z,14.26,0.03
2025-06-02T20:33:02.998Z,14.2,0.42
2025-06-02T20:33:12.998Z,12.13,0.02
2025-06-02T20:33:22.998Z,14.35,0.28
2025-06-02T20:33:32.998Z,13.43,0.02
2025-06-02T20:33:42.998Z,13.92,0.33
2025-06-02T20:33:52.998Z,10.7,0.41
2025-06-02T20:34:02.998Z,11.93,0.29
2025-06-02T20:34:12.998Z,11.61,0.08
2025-06-02T20:34:22.998Z,13.48,0.36
2025-06-02T20:34:32.998Z,10.07,0.24
2025-06-02T20:34:42.998Z,11.89,0.33
2025-06-02T20:34:52.998Z,14.28,0.37
2025-06-02T20:35:02.998Z,11.05,0.41
