zeitstempel,parametertyp,wert,einheit,zustand
2025-06-10T09:57:42.407Z,Relative Feuchtigkeit,40.3,%,OK
2025-06-10T09:57:42.407Z,Temperatur,26.9,°C,OK
2025-06-10T10:07:42.407Z,Erschütterung,0.28,g,OK
2025-06-10T09:57:43.407Z,Relative Feuchtigkeit,48.2,%,OK
2025-06-10T09:57:43.407Z,Temperatur,20.9,°C,OK
2025-06-10T10:07:43.407Z,Erschütterung,0.28,g,OK
2025-06-10T09:57:44.407Z,Relative Feuchtigkeit,41.6,%,OK
2025-06-10T09:57:44.407Z,Temperatur,11.4,°C,OK
2025-06-10T10:07:44.407Z,Erschütterung,0.20,g,OK
2025-06-10T09:57:45.407Z,Relative Feuchtigkeit,52.3,%,OK
2025-06-10T09:57:45.407Z,Temperatur,17.3,°C,OK
2025-06-10T10:07:45.407Z,Erschütterung,0.16,g,OK
2025-06-10T09:57:46.407Z,Relative Feuchtigkeit,49.1,%,OK
2025-06-10T09:57:46.407Z,Temperatur,14.2,°C,OK
2025-06-10T10:07:46.407Z,Erschütterung,0.48,g,OK
